# m0 | m12  | ng          | ns          | nn          | ll          | sb       | ss       | tb          | bb          | gg       | sg
1000 | 1000 | 1.23383 | 1.64722 | 1.05073 | 1.10389 | 4.07407 | 1.09043 | 4.6038 | 7.68724 | 26.2774 | 5.32168
1000 | 100 | 1.1906 | 1.09554 | 1.34075 | 1.05413 | 1.5989 | 1.34028 | 1.77332 | 1.9228 | 1.88393 | 1.7874
1000 | 120 | 1.16091 | 1.10155 | 1.31972 | 1.05347 | 1.59412 | 1.32847 | 1.77137 | 1.94439 | 1.97521 | 1.80095
1000 | 140 | 1.13159 | 1.10224 | 1.30707 | 1.05422 | 1.58974 | 1.32031 | 1.78902 | 1.96441 | 2.07819 | 1.80702
1000 | 160 | 1.11305 | 1.1061 | 1.29447 | 1.05425 | 1.59286 | 1.31489 | 1.80402 | 1.99082 | 2.17925 | 1.83077
1000 | 180 | 1.09492 | 1.11387 | 1.28698 | 1.05487 | 1.58871 | 1.30516 | 1.72095 | 2.02085 | 2.28977 | 1.8513
1000 | 200 | 1.08363 | 1.11714 | 1.27453 | 1.05384 | 1.59535 | 1.3 | 1.82014 | 2.04656 | 2.40166 | 1.87166
1000 | 220 | 1.07191 | 1.12184 | 1.26584 | 1.05358 | 1.60326 | 1.28571 | 1.8736 | 2.07728 | 2.50813 | 1.8855
1000 | 240 | 1.06027 | 1.12683 | 1.25885 | 1.05364 | 1.6129 | 1.28082 | 1.92012 | 2.11463 | 2.63077 | 1.91304
1000 | 260 | 1.05171 | 1.13413 | 1.24914 | 1.05376 | 1.62791 | 1.27778 | 1.96376 | 2.15136 | 2.76353 | 1.94145
1000 | 280 | 1.04536 | 1.13745 | 1.23846 | 1.05361 | 1.62617 | 1.26852 | 2.00421 | 2.1964 | 2.89744 | 1.96304
1000 | 300 | 1.03903 | 1.14761 | 1.23059 | 1.05324 | 1.64368 | 1.25683 | 2.0438 | 2.24287 | 3.04977 | 1.99693
1000 | 320 | 1.03357 | 1.15441 | 1.21989 | 1.0536 | 1.6643 | 1.25422 | 2.07711 | 2.28882 | 3.2126 | 2.02586
1000 | 340 | 1.02917 | 1.16341 | 1.21371 | 1.05333 | 1.68384 | 1.24651 | 2.10175 | 2.33457 | 3.35121 | 2.06667
1000 | 360 | 1.02561 | 1.17022 | 1.2062 | 1.05414 | 1.7047 | 1.24067 | 2.13812 | 2.39808 | 3.52144 | 2.10169
1000 | 380 | 1.01895 | 1.1807 | 1.19897 | 1.05432 | 1.73011 | 1.23251 | 2.16495 | 2.46187 | 3.71429 | 2.13523
1000 | 400 | 1.01892 | 1.18925 | 1.19089 | 1.05416 | 1.75362 | 1.22802 | 2.20252 | 2.52738 | 3.91304 | 2.17247
1000 | 420 | 1.01708 | 1.19708 | 1.18301 | 1.05433 | 1.7814 | 1.22148 | 2.23797 | 2.58435 | 4.12779 | 2.2297
1000 | 440 | 1.01679 | 1.20942 | 1.17523 | 1.05461 | 1.81325 | 1.21399 | 2.26928 | 2.66922 | 4.35855 | 2.27508
1000 | 460 | 1.01326 | 1.21708 | 1.17413 | 1.05529 | 1.84375 | 1.2132 | 2.31712 | 2.73694 | 4.60317 | 2.33032
1000 | 480 | 1.0163 | 1.22909 | 1.16537 | 1.05472 | 1.87947 | 1.20755 | 2.36329 | 2.82545 | 4.87288 | 2.38608
1000 | 500 | 1.01712 | 1.24085 | 1.1581 | 1.0564 | 1.93289 | 1.20312 | 2.40059 | 2.91465 | 5.15541 | 2.45133
1000 | 520 | 1.018 | 1.25011 | 1.14991 | 1.05628 | 1.9646 | 1.20588 | 2.44466 | 3.00172 | 5.4429 | 2.50617
1000 | 540 | 1.02232 | 1.26416 | 1.14638 | 1.05869 | 2.01878 | 1.19706 | 2.49594 | 3.09626 | 5.76728 | 2.5734
1000 | 560 | 1.02595 | 1.27584 | 1.13977 | 1.05825 | 2.06875 | 1.19385 | 2.55138 | 3.20936 | 6.11702 | 2.63923
1000 | 580 | 1.03025 | 1.28793 | 1.134 | 1.05997 | 2.11203 | 1.18533 | 2.60506 | 3.3402 | 6.48536 | 2.72203
1000 | 600 | 1.03379 | 1.30096 | 1.12808 | 1.06068 | 2.16667 | 1.17762 | 2.65925 | 3.45833 | 6.90789 | 2.8
