# m0 | m12 | xsec in pb!
1000 | 1000 | 0.0002
1000 | 100  | 89.5600
1000 | 120  | 32.9100
1000 | 140  | 15.0800
1000 | 160  | 7.8450
1000 | 180  | 4.4270
1000 | 200  | 2.7040
1000 | 220  | 1.7120
1000 | 240  | 1.1260
1000 | 260  | 0.7670
1000 | 280  | 0.5365
1000 | 300  | 0.3812
1000 | 320  | 0.2777
1000 | 340  | 0.2059
1000 | 360  | 0.1537
1000 | 380  | 0.1165
1000 | 400  | 0.0892
1000 | 420  | 0.0690
1000 | 440  | 0.0535
1000 | 460  | 0.0422
1000 | 480  | 0.0331
1000 | 500  | 0.0265
1000 | 520  | 0.0209
1000 | 540  | 0.0168
1000 | 560  | 0.0137
1000 | 580  | 0.0110
1000 | 600  | 0.0089
1000 | 620  | 0.0072
1000 | 640  | 0.0059
1000 | 660  | 0.0049
1000 | 680  | 0.0040
1000 | 700  | 0.0033
1000 | 720  | 0.0028
1000 | 740  | 0.0023
1000 | 760  | 0.0019
1000 | 780  | 0.0016
1000 | 800  | 0.0013
1000 | 820  | 0.0011
1000 | 840  | 0.0009
1000 | 860  | 0.0008
1000 | 880  | 0.0007
1000 | 900  | 0.0006
1000 | 920  | 0.0005
1000 | 940  | 0.0004
1000 | 960  | 0.0003
1000 | 980  | 0.0003
100  | 100  | 1786.0000
100  | 120  | 181.4000
100  | 140  | 82.2200
100  | 160  | 42.5600
100  | 180  | 23.4600
100  | 200  | 13.6500
100  | 220  | 8.2880
100  | 240  | 5.2130
100  | 260  | 3.3390
100  | 280  | 2.2330
100  | 300  | 1.5040
100  | 320  | 1.0370
100  | 340  | 0.7253
100  | 360  | 0.5172
100  | 380  | 0.3717
100  | 400  | 0.2730
100  | 420  | 0.2020
100  | 440  | 0.1503
100  | 460  | 0.1141
100  | 480  | 0.0871
100  | 500  | 0.0664
100  | 520  | 0.0518
1020 | 1000 | 0.0002
1020 | 100  | 89.0700
1020 | 120  | 32.7200
1020 | 140  | 14.9800
1020 | 160  | 7.7760
1020 | 180  | 4.4390
1020 | 200  | 2.6580
1020 | 220  | 1.6920
1020 | 240  | 1.1170
1020 | 260  | 0.7611
1020 | 280  | 0.5310
1020 | 300  | 0.3788
1020 | 320  | 0.2785
1020 | 340  | 0.2043
1020 | 360  | 0.1528
1020 | 380  | 0.1155
1020 | 400  | 0.0891
1020 | 420  | 0.0685
1020 | 440  | 0.0536
1020 | 460  | 0.0418
1020 | 480  | 0.0330
1020 | 500  | 0.0262
1020 | 520  | 0.0210
1020 | 540  | 0.0167
1020 | 560  | 0.0136
1020 | 580  | 0.0109
1020 | 600  | 0.0089
1020 | 620  | 0.0072
1020 | 640  | 0.0059
1020 | 660  | 0.0049
1020 | 680  | 0.0040
1020 | 700  | 0.0033
1020 | 720  | 0.0028
1020 | 740  | 0.0023
1020 | 760  | 0.0019
1020 | 780  | 0.0016
1020 | 800  | 0.0013
1020 | 820  | 0.0011
1020 | 840  | 0.0009
1020 | 860  | 0.0008
1020 | 880  | 0.0007
1020 | 900  | 0.0006
1020 | 920  | 0.0005
1020 | 940  | 0.0004
1020 | 960  | 0.0003
1020 | 980  | 0.0003
1040 | 1000 | 0.0002
1040 | 100  | 87.8000
1040 | 120  | 32.5700
1040 | 140  | 14.8400
