SumEt			#Sigma  E_{#perp}
ECALSumEt		#Sigma  E_{#perp} (ECAL)
HCALSumEt	 	#Sigma  E_{#perp} (HCAL)
PrimVtxx			Prim. Vtx. Pos. (x) [cm]
PrimVtxy			Prim. Vtx. Pos. (y) [cm]
PrimVtxz			Prim. Vtx. Pos. (z) [cm]
PrimVtxPtSum		Prim. Vtx. #Sigma p_{#perp} [GeV]
PrimVtxNdof		Prim. Vtx. Number of degrees of freedom
PrimVtxNChi2		Prim. Vtx. #chi^{2}/N_{dof}
MuPt			p_{#perp} (#mu) [GeV]
MuPt[0]			p_{#perp} (#mu_{1}) [GeV]
MuPt[1]			p_{#perp} (#mu_{2}) [GeV]
MuEta			#eta(#mu)
MuEta[0]		#eta(#mu_{1})
MuEta[1]		#eta(#mu_{2})
abs(MuEta)		|#eta|(#mu)
abs(MuEta[0])		|#eta|(#mu_{1})
abs(MuEta[1])		|#eta|(#mu_{2})
MuPhi			#phi(#mu)
MuPhi[0]		#phi(#mu_{1})
MuPhi[1]		#phi(#mu_{2})
MuD0BS			d_{0}(#mu,BS) [cm]
MuD0BS[0]		d_{0}(#mu_{1},BS) [cm]
MuD0BS[1]		d_{0}(#mu_{2},BS) [cm]
MuD0PV			d_{0}(#mu,PV) [cm]
MuD0PV[0]		d_{0}(#mu_{1},PV) [cm]
MuD0PV[1]		d_{0}(#mu_{2},PV) [cm]
abs(MuD0BS)		|d_{0}|(#mu,BS) [cm]
abs(MuD0BS[0])		|d_{0}|(#mu_{1},BS) [cm]
abs(MuD0BS[1])		|d_{0}|(#mu_{2},BS) [cm]
abs(MuD0PV)		|d_{0}|(#mu,PV) [cm]
abs(MuD0PV[0])		|d_{0}|(#mu_{1},PV) [cm]
abs(MuD0PV[1])		|d_{0}|(#mu_{2},PV) [cm]
MuDzBS			d_{z}(#mu,BS) [cm]
MuDzBS[0]		d_{z}(#mu_{1},BS) [cm]
MuDzBS[1]		d_{z}(#mu_{2},BS) [cm]
MuDzPV			d_{z}(#mu,PV) [cm]
MuDzPV[0]		d_{z}(#mu_{1},PV) [cm]
MuDzPV[1]		d_{z}(#mu_{2},PV) [cm]
abs(MuDzBS)		|d_{z}|(#mu,BS) [cm]
abs(MuDzBS[0])		|d_{z}|(#mu_{1},BS) [cm]
